City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
cape town,96,ZA,1578378477,64,-33.93,18.42,70.0,5.82
carnarvon,82,ZA,1578378495,52,-30.97,22.13,70.68,15.59
mahebourg,40,MU,1578378220,79,-20.41,57.7,86.0,6.93
puerto ayora,25,EC,1578378496,82,-0.74,-90.35,75.99,1.99
codrington,17,AU,1578378496,42,-28.95,153.24,89.6,16.11
tasiilaq,100,GL,1578378496,95,65.61,-37.64,21.24,21.72
butaritari,100,KI,1578378496,76,3.07,172.79,85.3,16.24
brae,20,GB,1578378497,81,60.4,-1.35,46.4,24.16
hermanus,97,ZA,1578378497,77,-34.42,19.24,69.01,11.99
tiksi,100,RU,1578378498,86,71.64,128.87,-3.32,11.88
vaini,40,IN,1578378498,65,15.34,74.49,80.6,9.17
mataura,84,NZ,1578378498,78,-46.19,168.86,54.0,13.0
pustoshka,100,RU,1578378498,98,56.34,29.37,32.67,6.15
hithadhoo,100,MV,1578378498,78,-0.6,73.08,83.7,15.21
agadez,0,NE,1578378498,40,16.97,7.99,57.2,2.24
surt,35,LY,1578378415,59,31.21,16.59,49.46,11.36
hofn,100,IS,1578378499,96,64.25,-15.21,39.36,27.09
busselton,0,AU,1578378499,15,-33.64,115.35,93.99,15.03
red bluff,1,US,1578378288,93,40.18,-122.24,41.0,4.7
chuy,21,UY,1578378500,86,-33.69,-53.46,64.74,5.75
luderitz,58,NA,1578378500,77,-26.65,15.16,64.4,13.87
ixtapa,90,MX,1578378500,83,20.71,-105.21,84.2,4.12
bredasdorp,75,ZA,1578378500,64,-34.53,20.04,71.6,11.41
omsukchan,75,RU,1578378500,67,62.53,155.8,-9.31,2.84
kohtla-nomme,100,EE,1578378501,93,59.35,27.18,38.84,15.5
bluff,100,AU,1578378498,37,-23.58,149.07,89.31,12.19
monforte de lemos,100,ES,1578378501,81,42.52,-7.51,34.0,1.34
qaanaaq,33,GL,1578378501,83,77.48,-69.36,-21.57,5.77
ambanja,40,MG,1578378501,84,-13.68,48.45,86.0,2.24
along,73,IN,1578378501,42,28.17,94.8,66.97,1.23
severo-kurilsk,100,RU,1578378502,78,50.68,156.12,22.03,14.85
punta arenas,90,CL,1578378502,81,-53.16,-70.91,51.8,8.05
ushuaia,75,AR,1578378459,58,-54.81,-68.31,57.2,16.11
kaili,97,ID,1578378502,87,-3.46,120.21,70.32,4.63
jamestown,0,AU,1578378502,27,-33.21,138.6,86.9,1.88
juan lacaze,2,UY,1578378503,70,-34.43,-57.44,62.01,9.62
saskylakh,72,RU,1578378503,94,71.97,114.09,0.54,9.24
portland,1,US,1578378503,79,43.66,-70.25,27.0,4.7
mar del plata,85,AR,1578378503,45,-46.43,-67.52,66.72,18.03
iowa city,90,US,1578378465,86,41.66,-91.53,32.0,4.7
champerico,5,MX,1578378504,88,16.38,-93.6,62.6,3.36
georgetown,63,GY,1578378504,94,6.8,-58.16,71.6,4.7
rikitea,21,PF,1578378504,78,-23.12,-134.97,77.16,15.32
mount gambier,40,AU,1578378412,36,-37.83,140.78,80.6,14.99
saint-philippe,90,CA,1578378505,92,45.36,-73.48,32.0,4.7
ponta do sol,0,BR,1578378505,92,-20.63,-46.0,65.73,0.89
aswan,0,EG,1578378505,45,24.09,32.9,44.6,2.24
fayetteville,1,US,1578378305,52,36.06,-94.16,42.8,9.17
kapaa,90,US,1578378506,88,22.08,-159.32,75.2,17.22
magdagachi,18,RU,1578378506,94,53.45,125.8,-3.62,3.22
aleksandrov gay,100,RU,1578378506,94,50.14,48.57,29.16,7.07
coquimbo,0,CL,1578378506,67,-29.95,-71.34,62.6,4.7
xining,10,CN,1578378506,38,36.62,101.77,28.67,5.21
isangel,75,VU,1578378506,78,-19.55,169.27,82.4,12.64
cayenne,76,GF,1578378507,94,4.94,-52.33,73.4,2.24
pevek,0,RU,1578378507,66,69.7,170.27,-8.55,6.71
sitka,0,US,1578378507,65,37.17,-99.65,25.0,8.61
clinton,1,US,1578378248,52,41.28,-72.53,42.01,8.05
nome,90,US,1578378508,88,30.04,-94.42,63.0,5.82
new norfolk,75,AU,1578378508,63,-42.78,147.06,70.0,14.99
port alfred,84,ZA,1578378508,95,-33.59,26.89,71.01,3.0
smithers,20,CA,1578378338,84,54.78,-127.17,3.2,3.36
maine-soroa,0,NE,1578378509,27,13.21,12.02,61.23,9.19
alugan,97,PH,1578378509,84,12.22,125.48,79.61,9.95
castro,90,CL,1578378509,87,-42.48,-73.76,53.6,11.41
port elizabeth,1,US,1578378509,55,39.31,-74.98,39.2,3.36
sao gabriel da cachoeira,61,BR,1578378509,79,-0.13,-67.09,76.28,2.28
matara,20,BI,1578378509,88,-3.48,29.48,69.8,2.24
albany,75,US,1578378510,59,42.65,-73.75,34.0,14.99
serebryanyy bor,100,RU,1578378510,90,56.8,124.8,5.29,2.46
barrow,0,AR,1578378510,74,-38.31,-60.23,54.63,8.12
makokou,21,GA,1578378510,84,0.56,12.85,71.51,2.37
hobart,75,AU,1578378334,63,-42.88,147.33,70.0,14.99
taloqan,100,AF,1578378511,99,36.74,69.54,29.88,5.37
